"","X1","X300","X5.911","X85.6666666666667"
"1",1,300,5.911,85.6666666666667
"2",2,300,5.765,79.3333333333333
"3",3,300,5.6,76.3333333333333
"4",4,300,5.648,78.6666666666667
"5",5,300,5.405,81.3333333333333
"6",6,300,5.454,79.3333333333333
"7",7,300,5.305,91.6666666666667
"8",8,300,5.402,82.3333333333333
"9",9,300,5.306,82
"10",10,300,5.343,91
"11",11,300,5.40000000000001,74.3333333333333
"12",12,300,6.103,87
"13",13,300,5.77,85.6666666666667
"14",14,300,5.452,86.6666666666667
"15",15,300,5.625,89
"16",16,300,5.514,80.6666666666667
"17",17,300,5.267,88.6666666666667
"18",18,300,5.786,82.3333333333333
"19",19,300,5.48099999999999,89
"20",20,300,5.42100000000001,85
"21",21,300,5.67899999999999,77.3333333333333
"22",22,300,5.04900000000001,85.3333333333333
"23",23,300,5.28699999999999,85.6666666666667
"24",24,300,5.129,86.6666666666667
"25",25,300,5.30799999999999,81.6666666666667
"26",26,300,5.529,83.6666666666667
"27",27,300,5.67599999999999,77.6666666666667
"28",28,300,5.245,85.3333333333333
"29",29,300,5.72499999999999,84.6666666666667
"30",30,300,5.37,90
"31",1,600,6.018,87.5
"32",2,600,6.56199999999998,90.3333333333333
"33",3,600,6.52600000000001,89.3333333333333
"34",4,600,6.90100000000001,86.8333333333333
"35",5,600,6.34699999999998,83
"36",6,600,6.69499999999999,91
"37",7,600,6.29000000000002,81.8333333333333
"38",8,600,6.55500000000001,80
"39",9,600,6.39500000000001,85.3333333333333
"40",10,600,6.05799999999999,89.6666666666667
"41",11,600,5.887,83.3333333333333
"42",12,600,5.983,84.8333333333333
"43",13,600,6.05199999999999,76.3333333333333
"44",14,600,6.029,82
"45",15,600,6.13000000000002,91.8333333333333
"46",16,600,6.00899999999996,85
"47",17,600,5.81,96
"48",18,600,5.84399999999999,88.3333333333333
"49",19,600,5.50299999999999,88.6666666666667
"50",20,600,5.81600000000003,87.6666666666667
"51",21,600,5.53300000000002,85.6666666666667
"52",22,600,6.06999999999999,81.8333333333333
"53",23,600,5.59899999999999,89
"54",24,600,5.65600000000001,90.8333333333333
"55",25,600,5.61799999999999,91.1666666666667
"56",26,600,5.971,88.8333333333333
"57",27,600,5.98200000000003,76.8333333333333
"58",28,600,5.72999999999996,76.1666666666667
"59",29,600,5.95300000000003,81.8333333333333
"60",30,600,5.76999999999998,83.6666666666667
"61",1,1200,6.363,75.25
"62",2,1200,6.41000000000003,83.5
"63",3,1200,6.37200000000001,79.1666666666667
"64",4,1200,6.56299999999999,79.1666666666667
"65",5,1200,6.47300000000001,80.25
"66",6,1200,6.35499999999996,90.1666666666667
"67",7,1200,6.209,91.3333333333333
"68",8,1200,6.39099999999996,85.5833333333333
"69",9,1200,6.26900000000001,87.3333333333333
"70",10,1200,6.36799999999999,83.25
"71",11,1200,6.80400000000003,75.6666666666667
"72",12,1200,6.024,91
"73",13,1200,6.00999999999999,89.6666666666667
"74",14,1200,6.072,85.3333333333333
"75",15,1200,6.16199999999998,85.5
"76",16,1200,6.42099999999999,84.4166666666667
"77",17,1200,6.62200000000001,86.75
"78",18,1200,6.57499999999999,82.6666666666667
"79",19,1200,6.39100000000002,90.5
"80",20,1200,6.09800000000001,88.0833333333333
"81",21,1200,6.108,86.1666666666667
"82",22,1200,6.38200000000001,86.5
"83",23,1200,6.673,74.5
"84",24,1200,6.06200000000001,88.0833333333333
"85",25,1200,6.089,80.5
"86",26,1200,6.19100000000003,90.4166666666667
"87",27,1200,6.25700000000001,88
"88",28,1200,6.53099999999995,86.5833333333333
"89",29,1200,6.83199999999999,81.3333333333333
"90",30,1200,6.39099999999996,73.1666666666667
