"","x","freq"
"1",1,160
"2",2,117
"3",3,166
"4",4,137
"5",5,143
"6",6,79
"7",7,311
"8",8,77
"9",9,245
"10",10,122
"11",11,248
"12",12,52
"13",13,540
"14",14,159
"15",15,147
"16",16,243
"17",17,193
"18",18,107
"19",19,93
"20",20,452
"21",21,129
"22",22,32
"23",23,108
"24",24,119
"25",25,34
"26",26,124
"27",27,96
"28",28,170
"29",29,110
"30",30,250
"31",31,178
"32",32,134
"33",33,333
"34",34,392
"35",35,241
"36",36,203
"37",37,204
"38",38,88
"39",39,159
"40",40,266
"41",41,159
"42",42,93
"43",43,128
"44",44,225
"45",45,296
"46",46,12
"47",47,151
"48",48,95
"49",49,67
"50",50,74
"51",51,219
"52",52,159
"53",53,229
"54",54,223
"55",55,89
"56",56,136
"57",57,43
"58",58,110
"59",59,209
"60",60,122
