,replica,k,time
1,1,1000,1.154
2,2,1000,1.109
3,3,1000,1.14
4,4,1000,1.147
5,5,1000,1.192
6,6,1000,1.147
7,7,1000,1.191
8,8,1000,1.155
9,9,1000,1.144
10,10,1000,1.225
11,11,1000,1.144
12,12,1000,1.15
13,13,1000,1.16
14,14,1000,1.15
15,15,1000,1.145
16,16,1000,1.15
17,17,1000,1.141
18,18,1000,1.103
19,19,1000,1.221
20,20,1000,1.091
21,21,1000,1.144
22,22,1000,1.107
23,23,1000,1.168
24,24,1000,1.149
25,25,1000,1.156
26,26,1000,1.237
27,27,1000,1.264
28,28,1000,1.197
29,29,1000,1.323
30,30,1000,1.208
31,1,5000,3.215
32,2,5000,3.073
33,3,5000,3.143
34,4,5000,3.068
35,5,5000,3.108
36,6,5000,3.001
37,7,5000,3.015
38,8,5000,3.025
39,9,5000,3.003
40,10,5000,3.068
41,11,5000,3.054
42,12,5000,3.038
43,13,5000,3.023
44,14,5000,3.054
45,15,5000,3.023
46,16,5000,3.048
47,17,5000,3.052
48,18,5000,3.031
49,19,5000,3.074
50,20,5000,3.058
51,21,5000,3.016
52,22,5000,3.027
53,23,5000,3.058
54,24,5000,3.023
55,25,5000,3.058
56,26,5000,3.069
57,27,5000,3.014
58,28,5000,3.033
59,29,5000,2.998
60,30,5000,3.001
61,1,10000,3.312
62,2,10000,3.4
63,3,10000,3.383
64,4,10000,3.353
65,5,10000,3.355
66,6,10000,3.355
67,7,10000,3.355
68,8,10000,3.371
69,9,10000,3.355
70,10,10000,3.365
71,11,10000,3.371
72,12,10000,3.35
73,13,10000,3.367
74,14,10000,3.344
75,15,10000,3.368
76,16,10000,3.343
77,17,10000,3.358
78,18,10000,3.359
79,19,10000,3.375
80,20,10000,3.345
81,21,10000,3.357
82,22,10000,3.35
83,23,10000,3.343
84,24,10000,3.372
85,25,10000,3.362
86,26,10000,3.362
87,27,10000,3.365
88,28,10000,3.357
89,29,10000,3.351
90,30,10000,3.358
91,1,15000,2.827
92,2,15000,2.777
93,3,15000,2.792
94,4,15000,2.79
95,5,15000,2.772
96,6,15000,2.782
97,7,15000,2.783
98,8,15000,2.785
99,9,15000,2.806
100,10,15000,2.781
101,11,15000,2.795
102,12,15000,2.774
103,13,15000,2.782
104,14,15000,2.799
105,15,15000,2.791
106,16,15000,2.775
107,17,15000,2.791
108,18,15000,2.801
109,19,15000,2.784
110,20,15000,2.793
111,21,15000,2.771
112,22,15000,2.785
113,23,15000,2.801
114,24,15000,2.791
115,25,15000,2.767
116,26,15000,2.784
117,27,15000,2.779
118,28,15000,2.786
119,29,15000,2.8
120,30,15000,2.78
121,1,20000,3.084
122,2,20000,3.121
123,3,20000,3.167
124,4,20000,3.1
125,5,20000,3.064
126,6,20000,3.084
127,7,20000,3.067
128,8,20000,3.071
129,9,20000,3.069
130,10,20000,3.086
131,11,20000,3.096
132,12,20000,3.086
133,13,20000,3.076
134,14,20000,3.073
135,15,20000,3.085
136,16,20000,3.059
137,17,20000,3.083
138,18,20000,3.075
139,19,20000,3.08
140,20,20000,3.074
141,21,20000,3.069
142,22,20000,3.097
143,23,20000,3.059
144,24,20000,3.089
145,25,20000,3.066
146,26,20000,3.076
147,27,20000,3.083
148,28,20000,3.074
149,29,20000,3.076
150,30,20000,3.098
151,1,25000,4.237
152,2,25000,4.234
153,3,25000,4.22
154,4,25000,4.137
155,5,25000,4.136
156,6,25000,4.131
157,7,25000,4.132
158,8,25000,4.166
159,9,25000,4.163
160,10,25000,4.145
161,11,25000,4.182
162,12,25000,4.17
163,13,25000,4.163
164,14,25000,4.156
165,15,25000,4.16
166,16,25000,4.155
167,17,25000,4.122
168,18,25000,4.176
169,19,25000,4.19
170,20,25000,4.134
171,21,25000,4.114
172,22,25000,4.165
173,23,25000,4.172
174,24,25000,4.17
175,25,25000,4.185
176,26,25000,4.186
177,27,25000,4.16
178,28,25000,4.142
179,29,25000,4.16
180,30,25000,4.179
181,1,50000,5.687
182,2,50000,5.679
183,3,50000,5.694
184,4,50000,5.612
185,5,50000,5.638
186,6,50000,5.666
187,7,50000,5.688
188,8,50000,5.607
189,9,50000,5.61
190,10,50000,5.667
191,11,50000,5.585
192,12,50000,5.609
193,13,50000,5.71
194,14,50000,5.548
195,15,50000,5.641
196,16,50000,5.719
197,17,50000,5.589
198,18,50000,5.641
199,19,50000,5.688
200,20,50000,5.649
201,21,50000,5.54
202,22,50000,5.675
203,23,50000,5.59
204,24,50000,5.509
205,25,50000,5.685
206,26,50000,5.655
207,27,50000,5.532
208,28,50000,5.644
209,29,50000,5.611
210,30,50000,5.635
211,1,100000,8.658
212,2,100000,8.126
213,3,100000,8.034
214,4,100000,8.169
215,5,100000,8.211
216,6,100000,8.068
217,7,100000,8.138
218,8,100000,8
219,9,100000,8.051
220,10,100000,8.087
221,11,100000,8.106
222,12,100000,8.16
223,13,100000,8.187
224,14,100000,8.294
225,15,100000,8.145
226,16,100000,8.07
227,17,100000,8.086
228,18,100000,8.131
229,19,100000,8.086
230,20,100000,7.998
231,21,100000,8.17
232,22,100000,8.179
233,23,100000,8.244
234,24,100000,8.159
235,25,100000,8.137
236,26,100000,8.149
237,27,100000,8.168
238,28,100000,8.073
239,29,100000,8.09
240,30,100000,8.223
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
